Name of Society,Address,State,District,Date of Registration,Area of Operation_x,Sector Type,Area of Operation_y
"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd","Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,2022-01-04,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,gujarat
"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd","Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,2022-01-04,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,rajasthan
Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Nashik maharashtra,MAHARASHTRA,NASIK,2022-01-04,"Haryana, Punjab, Rajasthan",Agro,haryana
Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Nashik maharashtra,MAHARASHTRA,NASIK,2022-01-04,"Haryana, Punjab, Rajasthan",Agro,punjab
Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Nashik maharashtra,MAHARASHTRA,NASIK,2022-01-04,"Haryana, Punjab, Rajasthan",Agro,rajasthan
"Seva Sadan Multi Specialty
Cooperative Hospital and Research Center Ltd","Gate no. 14, Chaitnya Complex, behind Tahsil karyalaya, Shrigonda Dist - Ahmednagar Pin -413701 (Maharashtra)",MAHARASHTRA,AHMEDNAGAR,2022-03-21,"Haryana, Rajasthan",Agro,haryana
"Seva Sadan Multi Specialty
Cooperative Hospital and Research Center Ltd","Gate no. 14, Chaitnya Complex, behind Tahsil karyalaya, Shrigonda Dist - Ahmednagar Pin -413701 (Maharashtra)",MAHARASHTRA,AHMEDNAGAR,2022-03-21,"Haryana, Rajasthan",Agro,rajasthan
Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,2022-03-21,"Gujarat, Rajasthan, Haryana, Delhi",Agro,gujarat
Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,2022-03-21,"Gujarat, Rajasthan, Haryana, Delhi",Agro,rajasthan
Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,2022-03-21,"Gujarat, Rajasthan, Haryana, Delhi",Agro,haryana
Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,2022-03-21,"Gujarat, Rajasthan, Haryana, Delhi",Agro,delhi
B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-08-03,"Kerala, karnataka, Maharashtra, Gujarat",Agro,kerala
B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-08-03,"Kerala, karnataka, Maharashtra, Gujarat",Agro,karnataka
B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-08-03,"Kerala, karnataka, Maharashtra, Gujarat",Agro,maharashtra
B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-08-03,"Kerala, karnataka, Maharashtra, Gujarat",Agro,gujarat
The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,2022-02-21,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile,maharashtra
The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,2022-02-21,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile,karnataka
The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,2022-02-21,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile,tamil nadu
Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,2022-03-02,"Haryana, Gujarat, Maharashtra, Delhi",Agro,haryana
